0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1
1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1
2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
3,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1
4,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1
5,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0
6,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
7,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0
8,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0
9,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1
10,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1
11,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
12,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
13,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1
14,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1
16,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1
17,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
18,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0
19,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
20,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1
21,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
22,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0
23,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0
24,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
25,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
26,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0
27,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0
28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0
30,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1
31,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
32,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
33,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0
34,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
35,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1
36,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1
37,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1
38,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1
39,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1
40,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1
41,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0
42,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1
43,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1
44,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1
45,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
46,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
47,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1
48,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
49,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
